video;face_name;start_frame;end_frame;total_frame;start_time;end_time;duration
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_24_04_56/2014_01_24_21_54.mpg;Shinzo ABE.jpg;35645;35681;91121;1783;1785;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_24_04_56/2014_01_24_21_54.mpg;Shinzo ABE.jpg;35753;35861;91121;1789;1794;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_24_04_56/2014_01_24_21_54.mpg;Shinzo ABE.jpg;36293;36413;91121;1816;1822;6
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_24_04_56/2014_01_24_21_54.mpg;Kenji Eda.jpg;85261;85685;91121;4266;4287;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;78125;78225;125889;3909;3914;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;78513;78581;125889;3929;3932;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;79249;79305;125889;3965;3968;3
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;79525;79933;125889;3979;4000;21
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;81537;81993;125889;4080;4103;23
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;87969;88069;125889;4402;4407;5
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;88205;88601;125889;4414;4433;19
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;91381;91437;125889;4573;4575;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;94485;94533;125889;4728;4730;2
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;95713;96021;125889;4789;4805;16
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_26_04_56/2014_01_26_10_00.mpg;Yukio HATOYAMA.jpg;96093;96437;125889;4808;4826;18
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_28_04_56/2014_01_28_21_54.mpg;Shinzo ABE.jpg;1177;1345;91125;58;67;9
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_28_04_56/2014_01_28_21_54.mpg;Shinzo ABE.jpg;6285;6477;91125;314;324;10
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_28_04_56/2014_01_28_21_54.mpg;Shinzo ABE.jpg;9141;9501;91125;457;475;18
/net/per610a/home/mvp/mvp_db/hodost-lv/2014/2014_01_28_04_56/2014_01_28_21_54.mpg;Shinzo ABE.jpg;12445;12481;91125;622;624;2
